City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
110,Port Augusta,-32.5,137.7667,57.7,clear sky,78,10,15.79,AU
111,Port Elizabeth,-33.918,25.5701,65.1,clear sky,63,0,10.36,ZA
112,Lavrentiya,65.5833,-171.0,23.11,overcast clouds,85,100,11.86,RU
113,Andenes,69.3143,16.1194,35.58,clear sky,55,0,17.27,NO
114,Castro,-24.7911,-50.0119,72.9,clear sky,43,0,0.29,BR
115,Lyantonde,-0.4031,31.1572,66.4,light rain,83,97,2.17,UG
116,New Norfolk,-42.7826,147.0587,57.76,heavy intensity rain,78,100,0.18,AU
117,Ballina,-28.8667,153.5667,69.76,broken clouds,96,75,6.91,AU
118,El Tarra,8.5756,-73.0949,90.36,broken clouds,53,64,2.37,CO
119,Price,39.5994,-110.8107,55.06,clear sky,71,1,0.0,US
120,Ouro Fino,-22.2831,-46.3692,77.63,scattered clouds,43,38,3.44,BR
121,Lasa,46.6166,10.7002,56.28,scattered clouds,76,31,2.44,IT
122,Fartura,-23.3883,-49.51,80.04,clear sky,33,0,4.27,BR
123,Zaysan,47.4667,84.8667,37.63,light rain,75,100,10.29,KZ
124,Carinhanha,-14.3047,-43.765,85.91,overcast clouds,49,100,4.34,BR
125,Hermanus,-34.4187,19.2345,64.8,overcast clouds,72,97,27.29,ZA
126,Carnarvon,-24.8667,113.6333,68.07,clear sky,83,0,16.11,AU
127,Stokmarknes,68.5646,14.9108,36.5,clear sky,55,0,13.8,NO
128,Airai,-8.9266,125.4092,63.0,broken clouds,80,82,2.3,TL
129,Aripuana,-9.1667,-60.6333,90.39,overcast clouds,54,87,4.61,BR
130,Mahebourg,-20.4081,57.7,75.49,broken clouds,83,75,4.61,MU
131,Sola,-13.8833,167.55,80.13,overcast clouds,78,87,6.26,VU
132,Thompson,55.7435,-97.8558,30.36,overcast clouds,93,90,9.22,CA
133,Cherskiy,68.75,161.3,-6.25,overcast clouds,100,100,2.55,RU
134,Aklavik,68.2191,-135.0107,32.83,overcast clouds,91,99,2.98,CA
135,Concepcion Del Oro,24.6333,-101.4167,64.69,overcast clouds,52,97,4.21,MX
136,Clyde River,70.4692,-68.5914,26.83,overcast clouds,74,90,4.61,CA
137,Lao Cai,22.4833,103.95,62.67,overcast clouds,97,100,0.38,VN
138,Kyzyl-Suu,42.3414,78.0056,31.08,light snow,91,100,7.99,KG
139,Samokov,42.3333,23.55,54.01,broken clouds,74,82,3.91,BG
140,Ixtapa,20.7,-105.2,87.22,clear sky,74,1,3.44,MX
141,Rocha,-34.4833,-54.3333,75.16,clear sky,46,6,2.39,UY
142,Homer,59.6425,-151.5483,38.77,clear sky,90,1,0.0,US
143,Ilulissat,69.2167,-51.1,21.22,broken clouds,73,75,3.44,GL
144,Arlit,18.7369,7.3853,100.9,clear sky,9,3,1.05,NE
145,Bethel,41.3712,-73.414,70.2,few clouds,63,20,1.01,US
146,Padang,-0.9492,100.3543,78.48,overcast clouds,87,100,4.14,ID
147,Blagoyevo,63.3667,47.9167,42.64,overcast clouds,86,100,13.78,RU
148,Torbay,47.6666,-52.7314,55.89,scattered clouds,65,40,14.97,CA
149,Ribeira Grande,38.5167,-28.7,72.0,few clouds,68,20,5.75,PT
150,Esperance,-33.8667,121.9,51.64,broken clouds,71,64,7.02,AU
