City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
414,Bathsheba,BB,86.61,13.2167,-59.5167,Atlantis Hotel
415,Hurghada,EG,78.84,27.2574,33.8129,Sea Star Beau Rivage Hotel
419,Yanam,IN,79.2,16.7333,82.2167,The Regency Hotel
424,Xai-Xai,MZ,75.87,-25.0519,33.6442,Complexo da Familia
431,Moa,CU,84.94,20.6569,-74.9403,Carmen
439,Parati,BR,86.9,-23.2178,-44.7131,Che Lagarto Paraty
440,Havelock,US,82.35,34.8791,-76.9013,Sherwood Motel
446,Ponot,PH,80.1,8.452,123.0222,
447,Puerto Carreno,CO,89.37,6.189,-67.4859,Casa Hotel Victoria
448,Kasempa,ZM,79.11,-13.4584,25.8338,Lolelunga Forest Reserve
449,Tuy Hoa,VN,77.05,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
450,Werda,BW,75.47,-25.2667,23.2833,
451,Harper,LR,79.39,4.375,-7.7169,Screensaver
455,Sabha,LY,86.54,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
456,Yulara,AU,76.84,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
457,Tabou,CI,78.62,4.423,-7.3528,hotêl doufoulougou
461,Panlaitan,PH,82.02,12.1191,119.8486,Panlaitan Cetro Beach
462,Valvedditturai,LK,82.51,9.8167,80.1667,Kanahathy Vadali
465,Axim,GH,80.56,4.8699,-2.2405,Axim Beach Resort And Spa
472,Merauke,ID,78.1,-8.4667,140.3333,
480,Linhares,BR,76.98,-19.3911,-40.0722,Hotel Conceição
484,Lumeje,AO,76.82,-11.55,20.7833,
486,Kapiri Mposhi,ZM,82.63,-13.9652,28.6809,MA 22 LODGE
487,Omboue,GA,77.63,-1.5746,9.2618,Hotel Olako
490,Uthal,PK,79.5,25.8072,66.6219,Al-Mustafa Hotel
496,Linden,GY,84.34,6.0,-58.3,Crimson Bat Hotel
499,Sao Mateus Do Maranhao,BR,88.59,-4.0417,-44.475,Pousada Pingo De Ouro
500,Mercedes,AR,83.86,-34.6515,-59.4307,Posada del Inti Centro
501,Oranjestad,AW,89.55,12.524,-70.027,Divi Village Golf & Beach Resort
505,Hilton Head Island,US,81.05,32.2163,-80.7526,Disney’s Hilton Head Island Resort
511,Pita,GN,82.45,10.8333,-12.5833,
517,Akyab,MM,78.96,20.15,92.9,Hotel Memory
528,Boa Vista,BR,82.38,2.8197,-60.6733,Aipana Plaza Hotel
529,Dabakala,CI,85.03,8.3667,-4.4333,Hôtel Campement
531,Salvador,SV,82.8,13.8333,-88.9167,Chico's Ranch
533,Benguela,AO,76.62,-12.5763,13.4055,Hotel Praia Morena
539,Yarada,IN,80.92,17.65,83.2667,Vishranti
541,Vanimo,PG,76.69,-2.6741,141.3028,Vahmoneh Lodge Vanimo
542,Sibolga,ID,78.51,1.7427,98.7792,Hotel Syariah CN Darussalam
544,Guamuchil,MX,84.74,25.4667,-108.1,Hotel Heredia
545,San Patricio,US,84.02,28.017,-97.5169,"Motel 6 Sinton, TX"
548,Raga,SS,77.41,8.4596,25.678,
549,Lichinga,MZ,75.29,-13.3128,35.2406,Residencial Bendiak
552,Iralaya,HN,84.29,15.0,-83.2333,Iglesia morava renovada
553,Zlitan,LY,79.34,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
555,Singaraja,ID,79.97,-8.112,115.0882,Puri Bagus Lovina Resort
559,Kloulklubed,PW,77.5,7.0419,134.2556,Storyboard Beach Resort
561,Bara,NG,84.72,10.3744,10.7288,
564,Elizabeth City,US,80.02,36.2946,-76.2511,Hampton Inn Elizabeth City
565,Petatlan,MX,80.4,17.5167,-101.2667,Hotel California Petatlán
571,Carutapera,BR,88.7,-1.195,-46.02,Lidera
572,Banda Aceh,ID,78.03,5.5577,95.3222,Sulthan Hotel International
573,Jacksonville Beach,US,85.01,30.2947,-81.3931,Courtyard by Marriott Jacksonville Beach Oceanfront
574,Itaituba,BR,86.16,-4.2761,-55.9836,Hotel Campos
577,Porto Velho,BR,89.65,-8.7619,-63.9039,Hotel Central
583,Itarema,BR,88.21,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
587,Takaungu,KE,78.89,-3.6837,39.8566,Takaungu House
590,Kalianget,ID,82.18,-7.05,113.9333,Pesanggrahan Garam
591,Sakakah,SA,83.77,29.9697,40.2064,Fakhamat Al Orjoana Apartment
593,Isla Mujeres,MX,86.16,21.2311,-86.731,Hotel La Joya Isla Mujeres
594,Balotra,IN,78.35,25.8333,72.2333,Hotel City Square
596,Porto Novo,BJ,81.32,6.4965,2.6036,Tour Eiffel Hotel Benin
599,Jaisalmer,IN,82.83,26.9147,70.9181,Hotel Fifu
600,Lodja,CD,76.53,-3.4833,23.4333,
605,Monrovia,LR,80.37,6.3005,-10.7969,Sunset Inn
607,Gulf Gate Estates,US,89.06,27.2517,-82.5147,Best Western Plus Siesta Key Gateway
608,Bandarbeyla,SO,78.96,9.4942,50.8122,JABIR HOTEL
610,Kaoma,ZM,80.64,-14.7833,24.8,KAOMA AIRPORT
614,Atakpame,TG,78.21,7.5333,1.1333,Hôtel sahélien
618,Puerto Escondido,MX,82.38,15.85,-97.0667,Aldea del Bazar Hotel and Spa
619,Port Blair,IN,81.05,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
620,Jacmel,HT,87.64,18.2342,-72.5347,Historic Hotel Florita
623,Hervey Bay,AU,76.03,-25.2986,152.8535,Shelly Bay Resort
624,Jovellanos,CU,84.54,22.8044,-81.1944,Finca Luna
635,Sao Raimundo Nonato,BR,86.85,-9.0153,-42.6994,Real Hotel
642,Daru,PG,78.55,-9.0763,143.2092,Daru Lodge
663,Bayeux,BR,88.43,-7.125,-34.9322,Infinity Motel
664,Hobyo,SO,80.19,5.3505,48.5268,Halane Hotel and Restaurent
670,Paracuru,BR,87.82,-3.41,-39.0306,Hotel Vento Brasil
674,Cap-Haitien,HT,83.25,19.7578,-72.2042,Habitation Jouissant
680,Rio Claro,BR,82.22,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
681,Paraiso,CR,79.88,9.8383,-83.8656,Rinconcito Verde
